Time,Symbol,Side,Entry,Exit,Qty,Net PnL,Hold,Reason
'26/08/2026, 14:32:58','XRP','BUY','1.4383','1.4323','3476.326218','-$21.86','885.0s','FibResistance(0.6%) SwingResistance(1) SwingSupport(7) | OBI(0.27) > 0.12 & Z(-0.91) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 20:36:05','BTC','BUY','78780','78810','0.114726','$1.634','134.6s','SwingResistance(3) SwingResistance(2) BullishFVG | OBI(0.65) > 0.12 & Z(-0.83) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 19:50:16','SUI','SELL','0.8349','0.8382','10818.70466','-$36.65','398.5s','FibResistance(0.2%) | OBI(-0.43) < -0.12 & Z(0.75) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 19:46:24','DOGE','SELL','0.0928','0.0928','97494.81099','$2.871','392.6s','FibResistance(0.7%) POCMagnet | OBI(-0.40) < -0.12 & Z(0.81) > 0.72 | Regime: TRENDING_BULL'
'24/08/2026, 19:32:20','DOGE','SELL','0.0924','0.0929','98066.26845','-$49.09','231.6s','POCMagnet | OBI(-0.29) < -0.12 & Z(0.92) > 0.72 | Regime: TRENDING_BULL'
'24/08/2026, 19:24:53','DOGE','SELL','0.0918','0.0922','98699.249355','-$40.60','246.9s','POCMagnet | OBI(-0.54) < -0.12 & Z(0.74) > 0.72 | Regime: TRENDING_BULL'
'24/08/2026, 19:21:02','BTC','BUY','78241','78278','0.115948','$2.475','881.4s','SwingResistance(3) BullishFVG | OBI(0.85) > 0.10 & Z(-0.94) < -0.42 | Regime: LOW_VOLATILITY'
'24/08/2026, 18:39:11','BTC','BUY','77669','78400','0.11658','$83.40','2759.4s','SwingResistance(3) POCMagnet | OBI(0.98) > 0.12 & Z(-0.57) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 18:23:06','HYPE','BUY','78.8750','78.9040','114.684542','$1.516','97.2s','SwingSupport(1) | OBI(0.90) > 0.12 & Z(-0.49) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 18:05:50','XRP','BUY','1.4754','1.4758','6127.089134','$0.643','177.6s','[CVD DIVERGENCE] POCMagnet | OBI(0.72) > 0.12 & Z(-0.82) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 17:51:25','HYPE','BUY','78.8420','78.5800','114.779305','-$31.88','1216.5s','SwingSupport(1) | OBI(0.86) > 0.12 & Z(-0.53) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 17:40:55','BTC','BUY','77602','77832','0.116727','$25.03','2039.5s','SwingResistance(3) POCMagnet | OBI(0.63) > 0.12 & Z(-1.06) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 17:09:58','XRP','BUY','1.4816','1.4824','6103.878742','$3.074','150.4s','POCMagnet | OBI(0.31) > 0.12 & Z(-0.76) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 17:06:02','DOGE','BUY','0.0914','0.0914','98868.518582','-$4.872','1735.0s','SwingSupport(1) | OBI(0.60) > 0.12 & Z(-1.14) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 17:06:02','BTC','BUY','76982','77603','0.06495','$39.33','6008.3s','SwingSupport(3) SwingResistance(3) POCMagnet | OBI(0.79) > 0.12 & Z(-0.79) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 16:50:52','HYPE','BUY','78.4400','78.4800','115.414942','$2.806','971.0s','SwingResistance(1) SwingSupport(1) | OBI(0.75) > 0.12 & Z(-0.51) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 16:17:45','HYPE','BUY','77.9270','78.3430','64.162614','$25.69','1814.9s','SwingSupport(1) SwingResistance(1) SwingSupport(1) | OBI(0.81) > 0.11 & Z(-0.48) < -0.42 | Regime: LOW_VOLATILITY'
'24/08/2026, 16:09:56','XRP','BUY','1.4590','1.4721','3427.004798','$43.89','1046.8s','SwingSupport(4) | OBI(0.94) > 0.12 & Z(-0.80) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 15:28:24','XRP','BUY','1.4615','1.4543','3421.142662','-$25.63','279.1s','SwingSupport(4) POCMagnet | OBI(0.67) > 0.12 & Z(-0.99) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 15:22:46','BTC','BUY','77446','77086','0.064561','-$24.24','2375.1s','SwingSupport(3) SwingResistance(3) BullishFVG | OBI(0.95) > 0.12 & Z(-0.80) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 15:20:59','HYPE','BUY','77.6880','77.7230','64.360004','$1.252','140.1s','SwingSupport(1) SwingResistance(1) SwingSupport(1) | OBI(0.64) > 0.12 & Z(-0.54) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 15:20:21','XRP','BUY','1.4623','1.4629','3419.271011','$1.051','123.7s','SwingSupport(4) POCMagnet | OBI(0.21) > 0.12 & Z(-0.95) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 15:10:58','ETH','BUY','2451.7','2452.4','2.039401','$0.427','343.8s','SwingSupport(1) SwingResistance(2) | OBI(0.32) > 0.12 & Z(-0.70) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 15:09:21','DOGE','BUY','0.0912','0.0913','54818.550598','$1.850','401.8s','SwingSupport(1) | OBI(0.88) > 0.12 & Z(-0.87) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 14:53:23','ETH','BUY','2454.0','2455.1','2.03749','$1.241','478.1s','SwingSupport(1) SwingResistance(2) | OBI(0.80) > 0.10 & Z(-0.65) < -0.42 | Regime: LOW_VOLATILITY'
'24/08/2026, 14:16:21','BTC','BUY','77119','77719','0.064835','$37.90','6640.5s','SwingSupport(3) SwingResistance(3) | OBI(0.92) > 0.10 & Z(-0.45) < -0.42 | Regime: LOW_VOLATILITY'
'24/08/2026, 13:53:27','NEAR','BUY','1.9662','1.9772','2542.976299','$26.97','607.8s','SwingResistance(2) SwingResistance(1) POCMagnet | OBI(0.27) > 0.12 & Z(-0.61) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 13:20:39','HYPE','BUY','79.3050','79.7080','63.047727','$24.41','977.4s','SwingSupport(1) | OBI(0.62) > 0.12 & Z(-0.90) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 12:22:07','BTC','BUY','76914','76997','0.065008','$4.395','1220.9s','SwingSupport(3) | OBI(0.77) > 0.10 & Z(-0.87) < -0.42 | Regime: LOW_VOLATILITY'
'24/08/2026, 11:52:16','BTC','BUY','77158','76772','0.064802','-$26.01','637.5s','SwingSupport(3) SwingResistance(3) | OBI(0.60) > 0.12 & Z(-0.82) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 11:41:01','BTC','BUY','77077','77115','0.06487','$1.465','1982.3s','SwingSupport(3) SwingResistance(3) | OBI(0.88) > 0.12 & Z(-0.86) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 10:58:55','BTC','BUY','77363','76974','0.06463','-$26.14','3108.8s','SwingSupport(3) SwingResistance(3) | OBI(0.95) > 0.12 & Z(-0.66) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 10:45:48','DOGE','SELL','0.0917','0.0917','54550.612058','-$4.819','424.6s','POCMagnet | OBI(-0.77) < -0.12 & Z(1.09) > 0.72 | Regime: TRENDING_BULL'
'24/08/2026, 10:05:56','BTC','BUY','77325','77366','0.064662','$1.651','1026.8s','SwingSupport(3) SwingResistance(3) | OBI(0.92) > 0.12 & Z(-0.92) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 09:55:17','SUI','SELL','0.8280','0.8281','6038.939079','-$1.725','252.5s','FibResistance(0.7%) SwingResistance(2) | OBI(-0.16) < -0.12 & Z(0.56) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 09:47:29','BTC','BUY','76998','77383','0.064937','$24.00','2918.7s','SwingSupport(3) SwingResistance(2) | OBI(0.97) > 0.10 & Z(-0.91) < -0.42 | Regime: LOW_VOLATILITY'
'24/08/2026, 08:56:20','BTC','BUY','77401','77035','0.064599','-$24.64','2079.2s','SwingSupport(3) SwingResistance(2) | OBI(0.95) > 0.12 & Z(-0.70) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 04:35:12','BTC','BUY','77453','77935','0.064555','$30.11','6539.2s','SwingSupport(3) SwingResistance(2) | OBI(0.60) > 0.12 & Z(-0.50) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 02:31:54','BTC','BUY','77305','77349','0.064679','$1.846','1135.0s','SwingSupport(3) SwingResistance(2) | OBI(0.93) > 0.12 & Z(-0.66) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 02:05:44','BTC','BUY','77311','77354','0.064674','$1.781','1011.8s','SwingSupport(3) SwingResistance(2) | OBI(1.00) > 0.12 & Z(-0.92) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 01:28:28','SUI','SELL','0.8317','0.8348','6012.144532','-$20.24','364.8s','FibResistance(0.3%) | OBI(-0.85) < -0.11 & Z(0.50) > 0.42 | Regime: LOW_VOLATILITY'
'24/08/2026, 01:23:17','BTC','BUY','77283','77314','0.064697','$1.005','2080.0s','SwingSupport(3) SwingResistance(1) | OBI(0.34) > 0.12 & Z(-0.76) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 01:07:59','DOGE','BUY','0.0927','0.0927','53945.579699','-$1.108','1167.1s','FibResistance(0.8%) POCMagnet | OBI(0.45) > 0.12 & Z(-0.92) < -0.72 | Regime: TRENDING_BEAR'
'24/08/2026, 00:48:05','BTC','BUY','77223','77265','0.064748','$1.719','940.5s','SwingSupport(3) SwingResistance(1) | OBI(1.00) > 0.12 & Z(-0.61) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 00:28:01','BTC','BUY','77254','77292','0.064722','$1.459','713.1s','SwingSupport(3) SwingResistance(1) | OBI(0.91) > 0.12 & Z(-1.07) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 00:17:55','SUI','SELL','0.8265','0.8262','6049.972775','$0.513','230.6s','FibResistance(0.9%) SwingResistance(2) | OBI(-0.37) < -0.12 & Z(0.83) > 0.48 | Regime: TRENDING_BULL'
'24/08/2026, 00:15:09','BTC','BUY','77256','77264','0.06472','-$0.482','639.9s','SwingSupport(3) SwingResistance(1) | OBI(0.95) > 0.12 & Z(-0.80) < -0.48 | Regime: TRENDING_BEAR'
'24/08/2026, 00:03:19','BTC','BUY','77252','77263','0.064723','-$0.288','4464.3s','SwingSupport(3) SwingResistance(1) | OBI(0.88) > 0.12 & Z(-0.63) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 22:45:47','BTC','BUY','77202','77242','0.064765','$1.590','1816.8s','SwingSupport(3) SwingResistance(1) | OBI(0.44) > 0.12 & Z(-1.14) < -0.51 | Regime: TRENDING_BEAR'
'23/08/2026, 22:13:49','BTC','BUY','77202','77233','0.064765','$1.008','956.6s','SwingSupport(3) SwingResistance(1) | OBI(0.94) > 0.12 & Z(-0.89) < -0.51 | Regime: TRENDING_BEAR'
'23/08/2026, 21:50:59','ETH','SELL','2426.4','2438.7','2.060666','-$26.35','301.1s','SwingResistance(2) | OBI(-0.65) < -0.12 & Z(0.73) > 0.48 | Regime: TRENDING_BULL'
'23/08/2026, 21:44:58','NEAR','BUY','1.9376','1.9406','2580.511974','$6.741','74.4s','SwingResistance(2) BullishFVG | OBI(0.63) > 0.12 & Z(-0.81) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 21:44:10','ETH','BUY','2416.7','2416.6','2.068937','-$1.207','26.2s','SwingSupport(2) | OBI(0.98) > 0.12 & Z(-0.76) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 21:22:44','BTC','BUY','77453','77492','0.064555','$1.517','934.1s','SwingSupport(3) SwingResistance(1) BullishFVG | OBI(0.72) > 0.12 & Z(-0.96) < -0.51 | Regime: TRENDING_BEAR'
'23/08/2026, 20:54:28','SUI','SELL','0.8294','0.8338','6028.16358','-$27.04','481.8s','FibResistance(0.5%) SwingResistance(2) | OBI(-0.27) < -0.12 & Z(0.63) > 0.48 | Regime: TRENDING_BULL'
'23/08/2026, 20:45:27','BTC','BUY','77449','77449','0.064559','-$1.000','842.1s','SwingSupport(3) SwingResistance(1) | OBI(0.68) > 0.12 & Z(-0.77) < -0.51 | Regime: TRENDING_BEAR'
'23/08/2026, 20:20:41','BTC','BUY','77297','77620','0.064686','$19.89','4676.1s','SwingSupport(3) SwingResistance(1) | OBI(0.28) > 0.12 & Z(-0.72) < -0.51 | Regime: TRENDING_BEAR'
'23/08/2026, 19:54:11','ETH','BUY','2424.8','2426.1','2.062026','$1.680','2768.5s','SwingResistance(2) BullishFVG | OBI(0.79) > 0.12 & Z(-0.56) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 19:18:16','HYPE','BUY','80.3110','79.8910','62.257972','-$27.15','780.1s','SwingResistance(1) BullishFVG | OBI(0.67) > 0.12 & Z(-0.84) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 18:48:20','BTC','BUY','76934','77228','0.064991','$18.11','4289.3s','SwingSupport(3) SwingResistance(1) | OBI(1.00) > 0.10 & Z(-0.52) < -0.42 | Regime: LOW_VOLATILITY'
'23/08/2026, 18:28:21','ETH','BUY','2414.9','2427.8','2.070479','$25.71','1833.6s','SwingSupport(2) | OBI(0.77) > 0.12 & Z(-0.64) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 17:28:10','ETH','BUY','2414.2','2415.4','2.071079','$1.485','4753.9s','SwingSupport(2) | OBI(0.21) > 0.12 & Z(-1.03) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 17:11:09','BTC','BUY','76642','76680','0.065238','$1.479','3840.5s','SwingResistance(1) SwingSupport(3) | OBI(0.93) > 0.10 & Z(-0.59) < -0.42 | Regime: LOW_VOLATILITY'
'23/08/2026, 15:50:06','BTC','BUY','76020','76558','0.065772','$34.38','3186.8s','FibResistance(0.6%) SwingResistance(1) SwingSupport(3) | OBI(0.31) > 0.12 & Z(-0.95) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 15:11:26','ETH','BUY','2394.9','2405.7','2.08777','$21.55','5771.4s','FibResistance(0.4%) SwingSupport(2) | OBI(0.77) > 0.12 & Z(-0.64) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 14:56:22','BTC','BUY','76309','76010','0.065523','-$20.59','4335.7s','FibResistance(1.0%) SwingResistance(1) SwingSupport(3) | OBI(0.35) > 0.10 & Z(-1.04) < -0.42 | Regime: LOW_VOLATILITY'
'23/08/2026, 14:52:51','XRP','BUY','1.4560','1.4632','3434.065934','$23.72','226.8s','SwingSupport(1) | OBI(0.67) > 0.12 & Z(-0.73) < -0.72 | Regime: TRENDING_BEAR'
'23/08/2026, 14:41:00','NEAR','BUY','1.8548','1.8558','2695.708432','$1.695','317.2s','FibSupport(0.6%) FibResistance(0.6%) SwingSupport(3) | OBI(0.74) > 0.12 & Z(-0.86) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 13:41:58','XRP','BUY','1.4555','1.4563','3435.24562','$1.748','123.5s','SwingSupport(1) | OBI(0.44) > 0.12 & Z(-0.88) < -0.72 | Regime: TRENDING_BEAR'
'23/08/2026, 13:25:20','XRP','BUY','1.4592','1.4518','3426.535088','-$26.35','193.6s','SwingSupport(1) | OBI(0.93) > 0.12 & Z(-0.88) < -0.72 | Regime: TRENDING_BEAR'
'23/08/2026, 13:13:40','ETH','BUY','2373.8','2374.9','2.106327','$1.317','289.1s','FibResistance(0.5%) SwingResistance(2) SwingSupport(2) | OBI(0.26) > 0.12 & Z(-0.59) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 13:08:13','BTC','BUY','76303','75961','0.065528','-$23.41','1975.6s','FibResistance(1.0%) SwingResistance(1) SwingSupport(3) | OBI(0.95) > 0.12 & Z(-0.73) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 13:06:04','SUI','BUY','0.7851','0.7847','6368.858828','-$3.420','268.1s','SwingSupport(1) | OBI(0.23) > 0.12 & Z(-0.82) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 13:03:01','ETH','SELL','2377.0','2375.9','3.864369','$2.414','2540.1s','FibResistance(0.4%) SwingResistance(2) SwingSupport(2) | OBI(-0.98) < -0.12 & Z(0.53) > 0.48 | Regime: TRENDING_BULL'
'23/08/2026, 12:55:30','XRP','BUY','1.4485','1.4488','3451.846738','$0.0355','144.8s','SwingSupport(1) | OBI(0.44) > 0.12 & Z(-0.77) < -0.72 | Regime: TRENDING_BEAR'
'23/08/2026, 12:51:34','XRP','BUY','1.4580','1.4488','3429.355281','-$32.55','242.0s','SwingSupport(1) | OBI(0.57) > 0.10 & Z(-0.79) < -0.63 | Regime: LOW_VOLATILITY'
'23/08/2026, 12:22:45','SUI','SELL','0.7900','0.7940','11627.643815','-$48.82','123.9s','FibSupport(0.7%) FibResistance(0.7%) SwingSupport(1) | OBI(-0.19) < -0.12 & Z(0.69) > 0.48 | Regime: TRENDING_BULL'
'23/08/2026, 12:17:59','ETH','SELL','2375.3','2364.2','2.104997','$22.37','420.5s','[CVD DIVERGENCE] FibResistance(0.4%) SwingResistance(2) SwingSupport(2) | OBI(-0.96) < -0.12 & Z(0.62) > 0.48 | Regime: TRENDING_BULL'
'23/08/2026, 12:14:24','XRP','BUY','1.4632','1.4635','3417.167851','$0.0250','296.4s','SwingSupport(1) | OBI(0.81) > 0.12 & Z(-0.77) < -0.72 | Regime: TRENDING_BEAR'
'23/08/2026, 12:09:33','SUI','SELL','0.7884','0.7877','11625.8128','$6.655','198.3s','FibSupport(0.9%) FibResistance(0.9%) SwingSupport(1) | OBI(-0.24) < -0.12 & Z(0.59) > 0.48 | Regime: TRENDING_BULL'
'23/08/2026, 12:09:01','ETH','BUY','2381.0','2368.4','3.85727','-$50.43','514.9s','FibResistance(0.2%) SwingResistance(2) SwingSupport(2) | OBI(0.54) > 0.12 & Z(-0.63) < -0.48 | Regime: TRENDING_BEAR'
'23/08/2026, 11:59:11','ETH','BUY','2378.5','2379.9','3.8588','$3.566','547.5s','FibResistance(0.3%) SwingResistance(2) SwingSupport(2) | OBI(0.98) > 0.12 & Z(-0.63) < -0.48 | Regime: TRENDING_BEAR'
